Data_Set_Name,Algorithm_Name,Measure,Value
GermanCreditSex,FAIR,FairnessAtK,1.0
GermanCreditSex,LFRanking,MAP,0.0
GermanCreditSex,LFRanking,NDCG@1,0.5363482795301848
GermanCreditSex,LFRanking,NDCG@5,0.507850367249923
GermanCreditSex,LFRanking,NDCG@10,0.5801276744640267
GermanCreditSex,LFRanking,rKL,0.0025507218633974435
GermanCreditSex,LFRanking,DTR,473.181147394
GermanCreditSex,LFRanking,DIR,1.10742222151
GermanCreditSex,LFRanking,FairnessAtK,1.0
GermanCreditAge25,Color-Blind,MAP,1.0
GermanCreditAge25,Color-Blind,NDCG@1,1.0
GermanCreditAge25,Color-Blind,NDCG@5,1.0
GermanCreditAge25,Color-Blind,NDCG@10,1.0
GermanCreditAge25,Color-Blind,rKL,0.004909666653772836
GermanCreditAge25,Color-Blind,DTR,1.03204572711
GermanCreditAge25,Color-Blind,DIR,0.808236008719
GermanCreditAge25,Color-Blind,FairnessAtK,0.1
GermanCreditAge25,FeldmanEtAl,MAP,0.01935148185148185
GermanCreditAge25,FeldmanEtAl,NDCG@1,0.8739393159214142
GermanCreditAge25,FeldmanEtAl,NDCG@5,0.9754038016556424
GermanCreditAge25,FeldmanEtAl,NDCG@10,0.9849148987659252
GermanCreditAge25,FeldmanEtAl,rKL,0.0013252140513061196
GermanCreditAge25,FeldmanEtAl,DTR,0.731921794019
GermanCreditAge25,FeldmanEtAl,DIR,0.817111548398
GermanCreditAge25,FeldmanEtAl,FairnessAtK,0.275
GermanCreditAge25,FOEIR-DPC,MAP,0.537564510834845
GermanCreditAge25,FOEIR-DPC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DPC,NDCG@5,0.992024198939576
GermanCreditAge25,FOEIR-DPC,NDCG@10,0.996008774349139
GermanCreditAge25,FOEIR-DPC,rKL,0.00490957884914066
GermanCreditAge25,FOEIR-DPC,DTR,1.04988383451
GermanCreditAge25,FOEIR-DPC,DIR,1.17252611374
GermanCreditAge25,FOEIR-DPC,FairnessAtK,0.275
GermanCreditAge25,FOEIR-DTC,MAP,0.560564510834845
GermanCreditAge25,FOEIR-DTC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DTC,NDCG@5,0.992024198939576
GermanCreditAge25,FOEIR-DTC,NDCG@10,0.996008774349139
GermanCreditAge25,FOEIR-DTC,rKL,0.00490957884914066
GermanCreditAge25,FOEIR-DTC,DTR,1.04988383451
GermanCreditAge25,FOEIR-DTC,DIR,1.17252611374
GermanCreditAge25,FOEIR-DTC,FairnessAtK,0.275
GermanCreditAge25,FOEIR-DIC,MAP,0.6200793424085
GermanCreditAge25,FOEIR-DIC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DIC,NDCG@5,0.992024198939576
GermanCreditAge25,FOEIR-DIC,NDCG@10,0.996008774349139
GermanCreditAge25,FOEIR-DIC,rKL,0.004345222255889021
GermanCreditAge25,FOEIR-DIC,DTR,1.04988383451
GermanCreditAge25,FOEIR-DIC,DIR,1.17252611374
GermanCreditAge25,FOEIR-DIC,FairnessAtK,0.275
GermanCreditAge25,FAIR,MAP,0.5146478441681783
GermanCreditAge25,FAIR,NDCG@1,1.0
GermanCreditAge25,FAIR,NDCG@5,0.992024198939576
GermanCreditAge25,FAIR,NDCG@10,0.996008774349139
GermanCreditAge25,FAIR,rKL,0.0042925789983947315
GermanCreditAge25,FAIR,DTR,0.731921787864
GermanCreditAge25,FAIR,DIR,0.817111548404
GermanCreditAge25,FAIR,FairnessAtK,0.275
GermanCreditAge25,LFRanking,MAP,0.0
GermanCreditAge25,LFRanking,NDCG@1,0.4244766672367305
